module,related_mods
CS1010,"['CS1010E', 'CS1010J', 'CS1010S', 'CS1010X', 'CS1101S', 'FIN4124', 'FIN4719', 'CP2106', 'CS2100', 'IT2002', 'CS2107', 'CS2040C', 'CS2040', 'CS2030', 'CS3237', 'IT3011', 'CS2040S', 'CS2030S', 'IS4241', 'BT2101', 'BT4212', 'BT4221', 'BT4222', 'BT2102', 'EE6934', 'EE3801', 'EE4802', 'MA3269', 'DSA3102', 'ST3247', 'CG1112', 'CG2028']"
CS1010E,"['CS1010', 'CS1010J', 'CS1010S', 'CS1010X', 'CS1101S', 'FIN4124', 'FIN4719', 'EE3801', 'EE4802', 'ESP3201', 'MA3269', 'DSA3102', 'ST3247']"
CS1010J,['CS1010']
CS1010R,"['CS1010', 'CS1010E']"
CS1010S,"['CS1010', 'CS1010E', 'CS1010J', 'CS1010X', 'CS1101S', 'FIN4124', 'FIN4719', 'IT3010', 'LSM3241', 'ZB4171', 'MA3269', 'DSA3102', 'ST3247']"
CS1010X,"['CS1010', 'FIN4124', 'FIN4719', 'DSA3102']"
CS1101S,"['CS1010', 'FIN4124', 'FIN4719', 'EE5907', 'MA3269']"
CS1231,"['MA1301', 'MA1301X', 'MA1100', 'CS1231S', 'CS2102', 'CS3230', 'CS4232', 'CS3234', 'CS3243', 'CS4236', 'CS5232', 'CS2040S', 'MA2202', 'MA2202S', 'MA2214', 'MA2219', 'MA3205']"
CS1231S,"['MA1301', 'MA1301X', 'MA1100', 'CS1231', 'CS4232', 'MA2202', 'MA2202S', 'MA2214', 'MA2219', 'MA3205']"
CS2030,"['CS1010', 'CS2030S', 'CS2102', 'CS2103', 'CS2104', 'CS2309', 'CS3240', 'CS3241', 'CS4243', 'CS5239', 'CS4215', 'CS2103T', 'CS2113', 'CS2113T', 'CP3107', 'IS2103', 'IS2102', 'BT3102', 'IS4302']"
CS2030S,"['CS1010', 'CS2030']"
CS2040,"['CS1010', 'CS2040C', 'CS2040S', 'CS2102', 'CS2103', 'CS2105', 'CS2220', 'CS2309', 'CS3223', 'CS3230', 'CS3241', 'CS3243', 'CS3244', 'CS4236', 'CS4243', 'CS5240', 'CS3245', 'CS4215', 'CS2103T', 'CS2108', 'CS2113', 'CS2113T', 'CS5332', 'CS5346', 'CP3107', 'CS5477', 'CS4277', 'BT4015', 'CG2271']"
CS2040C,"['CS1010', 'CS2040', 'CS2040S', 'CS2113', 'CS2113T', 'CP3107']"
CS2040S,"['CS2040', 'CS2040C', 'CS2113', 'CS2113T']"
CS2100,"['CS1010', 'CS2106', 'CS6280', 'CS3210', 'CS3237', 'EE5902']"
CS2101,"['ES1000', 'ES1103', 'CS2103', 'IS2101', 'ES2002', 'ES2007D', 'ES1601', 'CS2103T', 'CP3880', 'IS4010', 'IS3103']"
CS2102,"['IT2002', 'CP3106', 'CS3223', 'CS5228', 'CS4225', 'CS5346', 'CS5425', 'IS4302']"
CS2103,"['CS2103T', 'CS2113', 'CS2113T', 'CP3880', 'CS3216', 'CS4211', 'CS5232', 'CS3249', 'CS3281', 'CS3217', 'CS4239', 'CS3219', 'CS3203', 'CS5439', 'IS4234', 'BT3102', 'IS4302']"
CS2103T,"['CS2103', 'CS2113', 'CS2113T', 'IS2101', 'CS2101', 'CP3880', 'CS3203', 'IS4234', 'BT3102', 'IS4302']"
CS2104,['CS4212']
CS2105,"['CP3106', 'CS3103', 'CS3235', 'CS4222', 'CS6211', 'CS4226', 'CS5422', 'CS6219']"
CS2106,"['CS2100', 'EE2028', 'CG2271', 'CS3211', 'CS3235', 'CS4223', 'CS6211', 'CS6280', 'CS5250', 'CS6219', 'EE5903']"
CS2107,"['CS1010', 'CS3235', 'CS4236', 'IS5151', 'IS4231', 'IS4010', 'IFS4101']"
CS2108,"['CS4242', 'CS4347']"
CS2113,"['CS2040C', 'CS2103', 'CS2103T', 'CS2101', 'CS2113T', 'CS2101', 'CS2113', 'CS2101', 'CS2113', 'CS2113T', 'CS2104', 'CS2309', 'CS3240', 'CS3241', 'CS4243', 'CS5239', 'CS4215', 'CP3107', 'CS3203', 'IS4234', 'BT3102', 'IS4302', 'CG4002']"
CS2113T,"['CS2040C', 'CS2103', 'CS2103T', 'CS2101', 'CS2113T', 'CS2101', 'CS2113', 'CS2101', 'CS2113', 'CS2113T', 'CS2104', 'CS2309', 'CS3240', 'CS3241', 'CS4243', 'CS5239', 'CS4215', 'CP3107', 'CS3203', 'IS4234', 'BT3102', 'IS4302', 'CG4002']"
CS2220,"['CS4220', 'LSM3241', 'ZB4171']"
CS3103,"['CS2105', 'EE4204']"
CS3210,"['CS2100', 'CG2028', 'EE2028', 'CS4231', 'CS4223', 'CS6285']"
CS3211,"['CS2106', 'CG2271', 'CS5223', 'CS6213']"
CS3216,['CS2103']
CS3217,['CS2103']
CS3219,"['CS2103', 'CS4218']"
CS3223,"['CS4221', 'CS5322', 'CS6203', 'CS4224', 'CS5421', 'CS5424']"
CS3230,"['CS4231', 'CS5234', 'CS6244', 'CS6210', 'CS5330', 'CS4234', 'CS6215', 'CS4268', 'CS6235']"
CS3233,['CS2030']
CS3234,['MA1100']
CS3235,"['CS2107', 'CS5231', 'CS5321', 'CS4238', 'CS5331', 'CS6231', 'CS4239', 'IFS4102', 'IFS4205', 'CS5439', 'IFS4103']"
CS3237,"['CS2100', 'CS5476', 'CS4276']"
CS3240,"['CS4249', 'CS5346']"
CS3241,"['CS3247', 'CS4247', 'CS3242']"
CS3242,"['CS3241', 'MA1508E', 'MA1505', 'MA1507']"
CS3243,"['CS4244', 'CS4248', 'CS5228', 'CS5340', 'CS6208', 'CS4246', 'CS5446', 'CS4278', 'CS5478']"
CS3244,"['CS2040', 'MA1508E', 'MA1505', 'MA1507', 'MA2216', 'ST2131', 'BT4240', 'IT3011', 'CS5242', 'CS6283', 'CS5339', 'CS6216', 'IS4152', 'DSA4263', 'DSA4264']"
CS3245,"['CS4248', 'CS4242']"
CS3247,"['CS3241', 'CS4350']"
CS3249,['CS2103']
CS3281,"['CP3106', 'CS3282']"
CS3282,['CS3281']
CS4211,['CS2103']
CS4212,"['CS2104', 'CS5218', 'CS6215']"
CS4215,['CS5218']
CS4218,['CS3219']
CS4220,"['CS2220', 'LSM2241']"
CS4221,"['CS3223', 'CS5421']"
CS4222,"['MA2216', 'ST2131', 'CS5422', 'EE5132']"
CS4223,"['CG2271', 'CG3207', 'CS5222']"
CS4224,"['CS3223', 'CS5424', 'CS6282']"
CS4225,"['CS2102', 'IT2002', 'BT4221', 'CS5425', 'CS6282']"
CS4226,"['MA2216', 'ST2131', 'CS5229']"
CS4231,"['CS3230', 'CS3210', 'CS5233', 'CS6213']"
CS4232,"['CS1231', 'CS1231S', 'CS5236']"
CS4234,"['CS3230', 'MA1508E']"
CS4236,"['CS2107', 'CS6231']"
CS4238,['CS3235']
CS4239,"['CS3235', 'CS5439']"
CS4240,['CS3240']
CS4242,"['CS2108', 'CS3245']"
CS4243,"['MA1508E', 'MA1505', 'MA1507', 'MA2216', 'ST1232', 'ST2131', 'EE4212', 'EE4704', 'CS6240']"
CS4244,['CS3243']
CS4246,"['CS3243', 'ST2132', 'ST2334', 'ST1232', 'CS5446']"
CS4247,['CS3241']
CS4248,"['MA2216', 'ST2131', 'CS6207']"
CS4249,"['CS3240', 'NM2213']"
CS4268,"['CS3230', 'MA1508E', 'MA2216', 'ST2131']"
CS4276,"['CG4002', 'CS3237', 'CS5476']"
CS4277,['CS5477']
CS4278,"['CS3243', 'MA1505', 'ST2131', 'CS5478']"
CS4347,"['CS2108', 'MA1508E', 'MA1505', 'MA1507']"
CS4350,"['CS3247', 'NM3216']"
CS5218,"['CS4212', 'CS4215']"
CS5222,['CS4223']
CS5223,['CS3211']
CS5228,"['CS2102', 'CS3243', 'ST2132', 'ST2334', 'ST1232', 'CS6220']"
CS5229,"['CS4226', 'EE4210']"
CS5231,"['CS3235', 'CS6231']"
CS5232,['CS2103']
CS5233,"['CS4231', 'ST2132', 'ST2334', 'ST1232']"
CS5234,"['CS3230', 'CS6234']"
CS5236,['CS4232']
CS5239,"['ST2132', 'ST2334', 'ST1232']"
CS5240,"['MA1508E', 'MA1505', 'MA1507', 'MA2216', 'ST1232', 'ST2131', 'CS6240']"
CS5242,"['CS3244', 'CS6285', 'CS5260']"
CS5250,"['CS2106', 'CG2271']"
CS5260,['CS5242']
CS5321,['CS3235']
CS5322,['CS3223']
CS5330,['CS3230']
CS5331,['CS3235']
CS5332,"['MA1508E', 'MA1505', 'MA1507', 'ST2132', 'ST2334', 'ST1232']"
CS5339,"['CS3244', 'MA4270']"
CS5340,"['CS3243', 'ST2132', 'ST2334', 'ST1232']"
CS5344,['BT5110']
CS5346,"['CS2102', 'CS3240', 'ST1232', 'DSC2008', 'ST2132']"
